backend,seed,inter_node_distance_km,database_size_log,num_nodes,query_id,src,dst,hop_distance,success,failure_reason,tts_ms,fidelity,pair_arrival_ms
odo,43,20.0,5,25,16,router_23,router_12,4,True,,1300.41077501,0.8656327682109157,26.360;96.961;126.562;155.162;212.723;252.403;286.443;386.405;402.084;490.685;505.285;876.845;901.605;948.806;966.246;1037.607;1128.768;1145.529;1171.729;1217.770;1251.810;1300.411
odo,43,20.0,5,25,17,router_23,router_12,4,True,,1355.09308751,0.8619177287366009,18.360;59.601;89.961;137.402;158.722;192.922;217.683;247.243;333.284;400.885;420.485;809.046;854.646;881.487;989.928;1075.530;1092.290;1131.930;1211.572;1248.332;1285.772;1355.093
acp_m6,43,20.0,5,25,6,router_0,router_12,2,True,,655.00516251,0.9451921390801885,13.800;52.401;63.801;88.201;109.202;126.202;145.602;162.602;172.002;227.403;242.403;493.603;502.003;507.403;517.804;520.204;539.604;547.604;565.004;567.004;644.005;655.005
acp_m6,43,20.0,5,25,7,router_0,router_12,2,True,,834.60873751,0.9446067448610111,16.600;101.202;110.602;181.603;194.003;207.403;215.803;227.603;250.604;264.004;305.405;576.805;683.807;707.207;724.607;731.607;734.007;786.608;812.808;817.409;825.209;834.609
acp_m6,43,20.0,5,25,8,router_0,router_12,2,True,,825.80755001,0.9464034996447608,12.200;41.601;46.201;79.601;93.001;139.002;187.402;309.804;318.804;326.204;357.204;616.605;620.005;645.805;665.205;677.806;692.806;705.806;729.606;769.407;794.407;825.808
acp_m6,43,20.0,5,25,21,router_5,router_12,3,True,,790.56567501,0.9084378978200318,33.560;51.961;72.601;98.161;109.721;155.362;182.922;213.563;244.123;283.363;294.483;610.044;635.604;652.164;670.804;686.444;712.005;726.645;748.205;759.765;771.005;790.566
acp_m6,43,20.0,5,25,22,router_5,router_12,3,True,,773.80632501,0.9037673853003285,25.560;91.561;131.162;153.162;184.763;194.763;207.163;220.403;272.724;280.284;310.285;626.245;628.405;658.405;663.605;673.605;689.246;697.886;726.166;743.406;754.166;773.806
acp_m6,43,20.0,5,25,23,router_5,router_12,3,True,,921.08616251,0.9040496344974102,79.561;95.160;133.401;163.961;183.602;235.242;256.482;284.803;303.443;319.083;326.803;632.763;656.403;664.723;709.364;735.484;743.724;762.284;799.885;878.526;899.086;921.086
acp_m6,43,20.0,5,25,24,router_6,router_12,2,True,,733.40648751,0.9455915902356884,11.000;24.000;37.400;132.802;139.802;146.402;174.802;201.803;225.603;242.203;254.804;515.404;518.404;531.804;543.804;561.204;578.205;616.205;619.605;633.005;680.406;733.406
acp_m6,43,20.0,5,25,25,router_6,router_12,2,True,,436.00227501,0.9495920243212399,8.600;22.600;24.600;45.001;58.401;65.801;69.801;82.801;84.601;112.601;115.601;366.801;383.802;388.202;402.602;408.002;409.802;414.202;416.202;419.602;428.602;436.002
acp_m6,43,20.0,5,25,26,router_6,router_12,2,True,,489.00300001,0.9483002534953164,12.200;35.600;39.001;54.401;73.001;80.801;119.802;137.202;147.602;152.002;162.402;413.602;421.002;422.002;443.002;460.003;462.603;466.603;469.603;474.603;480.003;489.003
acp_m6,43,20.0,5,25,0,router_7,router_12,3,True,,634.16326251,0.9086062997357536,26.160;70.401;92.561;98.161;136.401;145.761;168.921;177.081;179.641;188.442;211.242;520.802;526.042;540.282;552.922;557.162;559.642;573.802;580.962;605.363;616.963;634.163
